iter	Passed	Remaining
1374	42709	50474
1375	42738	50441
1376	42768	50409
1377	42796	50374
1378	42827	50343
1379	42855	50309
1380	42884	50275
1381	42913	50242
1382	42943	50209
1383	42972	50175
1384	43002	50143
1385	43030	50109
1386	43059	50075
1387	43090	50044
1388	43119	50010
1389	43149	49978
1390	43178	49945
1391	43206	49910
1392	43236	49878
1393	43266	49846
1394	43294	49812
1395	43324	49779
1396	43353	49746
1397	43383	49713
1398	43412	49680
1399	43443	49650
1400	43471	49615
1401	43502	49584
1402	43532	49551
1403	43560	49517
1404	43590	49484
1405	43619	49451
1406	43650	49421
1407	43678	49385
1408	43708	49354
1409	43736	49319
1410	43765	49286
1411	43792	49251
1412	43823	49219
1413	43852	49186
1414	43881	49153
1415	43912	49122
1416	43940	49088
1417	43969	49055
1418	44000	49023
1419	44029	48991
1420	44057	48956
1421	44086	48922
1422	44113	48887
1423	44146	48858
1424	44174	48824
1425	44203	48791
1426	44232	48757
1427	44261	48725
1428	44292	48693
1429	44321	48660
1430	44349	48626
1431	44378	48593
1432	44408	48560
1433	44437	48527
1434	44465	48493
1435	44492	48458
1436	44523	48426
1437	44552	48394
1438	44583	48363
1439	44614	48332
1440	44649	48305
1441	44681	48275
1442	44713	48246
1443	44745	48216
1444	44779	48188
1445	44814	48161
1446	44846	48131
1447	44878	48101
1448	44909	48071
1449	44940	48040
1450	44972	48010
1451	45004	47979
1452	45037	47951
1453	45069	47921
1454	45101	47891
1455	45131	47859
1456	45161	47826
1457	45190	47794
1458	45220	47761
1459	45247	47727
1460	45277	47694
1461	45307	47662
1462	45336	47629
1463	45366	47597
1464	45396	47565
1465	45427	47534
1466	45454	47499
1467	45485	47468
1468	45514	47435
1469	45546	47405
1470	45578	47375
1471	45611	47346
1472	45644	47317
1473	45676	47288
1474	45709	47258
1475	45741	47228
1476	45773	47198
1477	45805	47169
1478	45837	47138
1479	45869	47109
1480	45901	47079
1481	45933	47049
1482	45965	47019
1483	45997	46989
1484	46027	46957
1485	46056	46924
1486	46086	46892
1487	46115	46859
1488	46143	46825
1489	46173	46792
1490	46204	46762
1491	46234	46730
1492	46264	46698
1493	46293	46665
1494	46322	46632
1495	46352	46600
1496	46384	46570
1497	46418	46542
1498	46449	46511
1499	46481	46481
1500	46513	46451
1501	46545	46421
1502	46577	46391
1503	46610	46362
1504	46641	46331
1505	46672	46300
1506	46702	46268
1507	46731	46235
1508	46760	46202
1509	46788	46168
1510	46819	46137
1511	46848	46105
1512	46876	46071
1513	46907	46039
1514	46939	46010
1515	46971	45979
1516	47003	45949
1517	47035	45919
1518	47068	45891
1519	47100	45860
1520	47133	45831
1521	47165	45802
1522	47198	45772
1523	47231	45743
1524	47264	45715
1525	47298	45686
1526	47332	45658
1527	47365	45629
1528	47399	45601
1529	47434	45574
1530	47468	45545
1531	47499	45515
1532	47530	45484
1533	47562	45453
1534	47595	45424
1535	47626	45393
1536	47656	45362
1537	47687	45330
1538	47716	45298
1539	47745	45265
1540	47774	45232
1541	47803	45199
1542	47833	45167
1543	47862	45134
1544	47894	45104
1545	47926	45074
1546	47959	45045
1547	47991	45015
1548	48024	44985
1549	48056	44955
1550	48087	44925
1551	48120	44896
1552	48152	44866
1553	48185	44836
1554	48217	44806
1555	48249	44776
1556	48282	44747
1557	48314	44717
1558	48345	44686
1559	48377	44656
1560	48409	44626
1561	48442	44596
1562	48473	44565
1563	48504	44534
1564	48532	44501
1565	48561	44468
1566	48590	44435
1567	48619	44402
1568	48647	44368
1569	48676	44335
1570	48707	44304
1571	48735	44271
1572	48765	44238
1573	48798	44209
1574	48830	44180
1575	48863	44150
1576	48895	44120
1577	48927	44090
1578	48959	44060
1579	48992	44030
1580	49024	44001
1581	49057	43971
1582	49089	43941
1583	49123	43913
1584	49155	43882
1585	49187	43852
1586	49219	43822
1587	49252	43793
1588	49284	43763
1589	49316	43733
1590	49349	43704
1591	49381	43673
1592	49410	43641
1593	49439	43608
1594	49469	43576
1595	49498	43543
1596	49527	43511
1597	49556	43478
1598	49585	43445
1599	49614	43412
1600	49644	43380
1601	49673	43348
1602	49704	43316
1603	49734	43285
1604	49763	43252
1605	49792	43219
1606	49822	43187
1607	49851	43154
1608	49880	43122
1609	49912	43092
1610	49944	43062
1611	49977	43032
1612	50010	43003
1613	50042	42973
1614	50074	42943
1615	50107	42913
1616	50139	42884
1617	50171	42853
1618	50204	42824
1619	50236	42794
1620	50268	42764
1621	50300	42733
1622	50333	42704
1623	50365	42674
1624	50396	42643
1625	50429	42614
1626	50462	42584
1627	50493	42553
1628	50525	42523
1629	50557	42493
1630	50589	42463
1631	50618	42429
1632	50647	42397
1633	50676	42364
1634	50705	42332
1635	50739	42303
1636	50771	42273
1637	50806	42245
1638	50835	42213
